               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.036118,            0.032923,           0.0010339,              0.7334,             0.64244,             0.65309,             0.27678,            0.047995,            0.017023,           0.0014811,            0.007756,            0.007756,            0.007756
                  70,            0.035672,            0.032602,           0.0010093,             0.68449,             0.66709,             0.63216,             0.25698,            0.049187,            0.016633,           0.0014357,            0.007723,            0.007723,            0.007723
                  71,            0.035598,             0.03254,          0.00098103,             0.72572,             0.66653,             0.65059,             0.27189,             0.04745,            0.016531,           0.0014353,             0.00769,             0.00769,             0.00769
                  72,            0.035578,            0.031913,           0.0010787,             0.74435,             0.70519,             0.66909,             0.26332,             0.04771,            0.016837,           0.0017779,            0.007657,            0.007657,            0.007657
                  73,            0.035535,            0.032097,           0.0010919,             0.72593,             0.67678,             0.65486,             0.26392,            0.048635,            0.016728,           0.0015896,            0.007624,            0.007624,            0.007624
                  74,            0.035358,            0.032344,           0.0011242,             0.74672,             0.68917,             0.67089,             0.27047,            0.047773,            0.016802,           0.0017346,            0.007591,            0.007591,            0.007591
                  75,            0.035186,            0.032241,           0.0009801,             0.71437,             0.66667,             0.64944,             0.27322,            0.047848,            0.017519,           0.0016932,            0.007558,            0.007558,            0.007558
                  76,            0.035168,             0.03222,            0.001114,             0.75275,             0.65709,             0.67185,              0.2701,            0.048766,            0.016947,           0.0016955,            0.007525,            0.007525,            0.007525
                  77,            0.034846,            0.032267,           0.0010743,             0.73254,             0.65783,             0.65457,             0.27473,            0.048162,            0.017087,           0.0015957,            0.007492,            0.007492,            0.007492
                  78,            0.034982,            0.032328,           0.0010453,             0.74161,              0.6625,             0.65177,             0.27306,             0.04763,            0.017284,           0.0013923,            0.007459,            0.007459,            0.007459
                  79,            0.034857,             0.03206,           0.0010331,             0.72485,             0.67308,             0.63596,              0.2643,            0.048943,            0.017166,            0.001582,            0.007426,            0.007426,            0.007426
                  80,            0.034959,            0.032054,            0.001008,             0.73474,             0.65085,              0.6518,             0.27314,            0.048405,            0.017239,           0.0014789,            0.007393,            0.007393,            0.007393
                  81,            0.034431,            0.031508,           0.0010269,             0.73839,             0.65017,             0.62889,             0.25776,            0.048366,            0.017159,           0.0013455,             0.00736,             0.00736,             0.00736
                  82,            0.034454,            0.031853,           0.0010507,             0.72963,             0.68167,             0.66055,             0.27139,            0.048661,            0.017416,           0.0014753,            0.007327,            0.007327,            0.007327
                  83,            0.034204,             0.03183,           0.0010049,             0.69991,             0.66375,             0.63779,             0.26604,            0.048849,               0.017,           0.0015232,            0.007294,            0.007294,            0.007294
                  84,            0.034332,            0.031392,           0.0010211,             0.73073,             0.68015,             0.66572,             0.26303,            0.048184,            0.017036,           0.0013157,            0.007261,            0.007261,            0.007261
                  85,            0.034161,            0.031511,          0.00094851,             0.73238,             0.68518,             0.68315,             0.28061,             0.04855,            0.017058,            0.001387,            0.007228,            0.007228,            0.007228
                  86,            0.034062,            0.031358,          0.00090224,             0.75035,              0.6755,             0.65824,             0.27576,            0.047783,            0.016583,            0.001407,            0.007195,            0.007195,            0.007195
                  87,            0.033852,            0.031881,          0.00095572,             0.72652,             0.67284,             0.66868,             0.28141,            0.047354,            0.017086,           0.0014688,            0.007162,            0.007162,            0.007162
                  88,            0.033818,             0.03141,          0.00088101,             0.69662,             0.68966,             0.66244,             0.27469,            0.047841,            0.017052,           0.0015653,            0.007129,            0.007129,            0.007129
                  89,            0.033626,            0.030905,          0.00096719,              0.7573,              0.6656,             0.66833,             0.26792,            0.047914,            0.017194,             0.00178,            0.007096,            0.007096,            0.007096
                  90,            0.033581,            0.030755,          0.00095871,             0.74455,             0.69653,             0.67574,             0.26625,            0.048817,            0.017008,            0.001604,            0.007063,            0.007063,            0.007063
                  91,            0.033545,            0.031188,            0.001001,             0.73217,             0.66392,             0.65285,             0.27128,            0.047902,            0.017205,           0.0014284,             0.00703,             0.00703,             0.00703
                  92,            0.033415,            0.030909,          0.00097854,              0.7513,             0.68593,             0.67082,             0.27096,            0.048386,            0.017023,           0.0013607,            0.006997,            0.006997,            0.006997
                  93,            0.033299,            0.030572,          0.00093488,             0.73724,             0.70203,             0.68095,             0.26805,            0.048124,            0.017213,            0.001324,            0.006964,            0.006964,            0.006964
                  94,            0.033039,            0.030863,           0.0008861,             0.74363,             0.68189,             0.67155,             0.26367,            0.048802,            0.017394,           0.0013403,            0.006931,            0.006931,            0.006931
                  95,            0.033088,            0.030335,          0.00090668,             0.68409,             0.70629,              0.6621,             0.27479,            0.048308,            0.017219,           0.0014128,            0.006898,            0.006898,            0.006898
                  96,            0.032894,             0.03093,          0.00085219,             0.72777,              0.6705,             0.65297,             0.27514,            0.047513,            0.017741,           0.0014018,            0.006865,            0.006865,            0.006865
                  97,            0.032961,            0.030617,          0.00092939,             0.73778,             0.68766,             0.65167,             0.27485,            0.047493,            0.017449,            0.001294,            0.006832,            0.006832,            0.006832
                  98,             0.03275,            0.030039,            0.000956,             0.74133,             0.67721,             0.64389,             0.26608,            0.047885,            0.017588,           0.0014251,            0.006799,            0.006799,            0.006799
                  99,            0.032688,            0.030723,           0.0008648,             0.71527,             0.68199,             0.64712,             0.27087,            0.047254,             0.01775,           0.0013711,            0.006766,            0.006766,            0.006766
                 100,             0.03246,            0.030341,          0.00085946,             0.73626,             0.66917,             0.62824,             0.25767,            0.047857,            0.017913,           0.0014016,            0.006733,            0.006733,            0.006733
                 101,            0.032366,            0.030187,          0.00090223,             0.74486,             0.65858,             0.63306,             0.26507,            0.047804,            0.017652,           0.0013461,              0.0067,              0.0067,              0.0067
                 102,            0.032425,            0.030049,          0.00086999,             0.70902,              0.6582,             0.63505,             0.26489,            0.048666,            0.017845,           0.0015396,            0.006667,            0.006667,            0.006667
                 103,            0.032619,            0.030309,          0.00091892,             0.67785,             0.67068,             0.63937,             0.26727,            0.048087,            0.017846,            0.001393,            0.006634,            0.006634,            0.006634
                 104,            0.032147,            0.030184,          0.00087423,             0.71646,             0.68223,              0.6431,             0.26108,            0.048762,            0.018063,           0.0014226,            0.006601,            0.006601,            0.006601
                 105,            0.032262,            0.029682,          0.00082081,             0.73229,             0.66252,             0.63938,             0.26397,            0.048584,            0.017601,           0.0015678,            0.006568,            0.006568,            0.006568
                 106,            0.032163,            0.029559,          0.00092107,             0.73918,             0.67476,             0.64466,             0.27503,             0.04768,            0.017432,           0.0013753,            0.006535,            0.006535,            0.006535
                 107,            0.032092,            0.030175,          0.00084245,             0.74168,              0.6543,             0.64952,               0.273,            0.048161,            0.017528,           0.0014362,            0.006502,            0.006502,            0.006502
                 108,            0.031864,            0.029223,          0.00084793,             0.74035,             0.68859,             0.66019,             0.27591,            0.047865,            0.017416,           0.0013899,            0.006469,            0.006469,            0.006469
